id,latitude,longitude,track_id,time
13556,-10.91846879,-37.05232455,37954,2015-05-14 10:08:06
13557,-10.91847489,-37.05362699,37954,2015-05-14 10:08:15
13558,-10.91841049,-37.05484777,37954,2015-05-14 10:08:28
13559,-10.91856923,-37.05474183,37954,2015-05-14 10:08:46
13560,-10.9184778,-37.05492384,37954,2015-05-14 10:08:59
13561,-10.91844337,-37.05482512,37954,2015-05-14 10:09:11
13562,-10.91774549,-37.05613647,37954,2015-05-14 10:10:18
13563,-10.91771509,-37.0563276,37954,2015-05-14 10:10:29
13564,-10.91784786,-37.0564571,37954,2015-05-14 10:10:40
13565,-10.91860308,-37.05804562,37954,2015-05-14 10:11:29
13566,-10.91860876,-37.05892544,37954,2015-05-14 10:11:39
13567,-10.91857469,-37.06030363,37954,2015-05-14 10:11:49
13568,-10.91870303,-37.0618861,37954,2015-05-14 10:12:00
13569,-10.91844615,-37.06308657,37954,2015-05-14 10:12:33
13570,-10.91841951,-37.06312698,37954,2015-05-14 10:12:45
13571,-10.91843412,-37.06312064,37954,2015-05-14 10:12:55
13572,-10.91848329,-37.06309531,37954,2015-05-14 10:13:18
13573,-10.91881825,-37.06694364,37954,2015-05-14 10:13:57
13574,-10.91859651,-37.06858583,37954,2015-05-14 10:14:29
13575,-10.9186513,-37.06856573,37954,2015-05-14 10:14:43
13576,-10.91865908,-37.06853253,37954,2015-05-14 10:14:57
13577,-10.91865671,-37.06852827,37954,2015-05-14 10:15:08
13578,-10.91865639,-37.0685254,37954,2015-05-14 10:15:19
13579,-10.9188271,-37.06912020000001,37954,2015-05-14 10:15:29
13580,-10.91868731,-37.069831,37954,2015-05-14 10:15:39
13581,-10.91851368,-37.07051376,37954,2015-05-14 10:15:50
13582,-10.91842295,-37.07129512,37954,2015-05-14 10:16:03
13583,-10.91847306,-37.07217821,37954,2015-05-14 10:16:14
13584,-10.91840256,-37.07293417,37954,2015-05-14 10:16:25
13585,-10.91834894,-37.07375642,37954,2015-05-14 10:16:35
13586,-10.91834514,-37.07405027,37954,2015-05-14 10:16:46
13587,-10.91830096,-37.07471395,37954,2015-05-14 10:16:58
13588,-10.91839311,-37.07552546,37954,2015-05-14 10:17:10
13589,-10.918424900000002,-37.0768073,37954,2015-05-14 10:17:20
13590,-10.9185914,-37.078714700000006,37954,2015-05-14 10:17:34
13591,-10.91868218,-37.08020652,37954,2015-05-14 10:17:46
13592,-10.918769699999999,-37.08174688,37954,2015-05-14 10:17:57
13593,-10.9189467,-37.08332791,37954,2015-05-14 10:18:07
13594,-10.91919019,-37.08549299,37954,2015-05-14 10:18:19
13595,-10.92004327,-37.087779299999994,37954,2015-05-14 10:18:34
13596,-10.92031567,-37.08853832,37954,2015-05-14 10:18:45
13597,-10.92030271,-37.08936701,37954,2015-05-14 10:18:57
13598,-10.92087448,-37.09006103,37954,2015-05-14 10:19:08
13599,-10.92112818,-37.09053849,37954,2015-05-14 10:19:19
