id,latitude,longitude,track_id,time
15631,-10.90891762,-37.05220667,38000,2015-05-29 05:48:00
15632,-10.90890817,-37.05228596,38000,2015-05-29 05:48:11
15633,-10.908911900000001,-37.05228875,38000,2015-05-29 05:48:21
15634,-10.90890109,-37.0523667,38000,2015-05-29 05:48:32
15635,-10.90890851,-37.05254141,38000,2015-05-29 05:48:43
15636,-10.90922025,-37.05265529,38000,2015-05-29 05:48:53
15637,-10.90977842,-37.05263214,38000,2015-05-29 05:49:04
15638,-10.91016177,-37.05264323,38000,2015-05-29 05:49:18
15639,-10.91017381,-37.05264632,38000,2015-05-29 05:49:34
15640,-10.91066968,-37.05267205,38000,2015-05-29 05:49:44
15641,-10.91173095,-37.05271168,38000,2015-05-29 05:49:55
15642,-10.91293077,-37.05275695,38000,2015-05-29 05:50:08
15643,-10.91307983,-37.0527869,38000,2015-05-29 05:50:20
15644,-10.91359133,-37.05279052,38000,2015-05-29 05:50:30
15645,-10.91374574,-37.05280651,38000,2015-05-29 05:50:41
15646,-10.91374011,-37.05280517,38000,2015-05-29 05:50:53
15647,-10.91374016,-37.05280526,38000,2015-05-29 05:51:05
15648,-10.91374211,-37.05280524,38000,2015-05-29 05:51:15
15649,-10.91419102,-37.05280909,38000,2015-05-29 05:51:25
15650,-10.91475781,-37.05279475,38000,2015-05-29 05:51:35
15651,-10.91503688,-37.05228848,38000,2015-05-29 05:51:47
15652,-10.91498324,-37.05189444,38000,2015-05-29 05:52:00
15653,-10.915000099999999,-37.05110302,38000,2015-05-29 05:52:16
15654,-10.91499117,-37.05084897,38000,2015-05-29 05:52:26
15655,-10.91500307,-37.05003583,38000,2015-05-29 05:52:37
15656,-10.91501012,-37.04936282,38000,2015-05-29 05:52:47
15657,-10.91499536,-37.04861514,38000,2015-05-29 05:53:00
15658,-10.91498861,-37.04788198,38000,2015-05-29 05:53:10
15659,-10.91531371,-37.04774622,38000,2015-05-29 05:53:23
15660,-10.91567995,-37.04768917,38000,2015-05-29 05:53:33
